new_episode,old_clean_episode,old_frames,focus_frames,new_frames,added_vs_focus_frames,removed_tail_frames,close_start_s,last_closed_s,cut_s,shake_window_rel_start_s,shake_window_rel_end_s,shake_score
0,4,1010,649,943,294,67,6.133,28.433,31.433,8.5,14.5,221.831
1,5,944,571,859,288,85,6.033,25.633,28.633,6.0,12.0,251.64
2,6,1128,731,1036,305,92,9.2,31.533,34.533,8.167,14.167,281.511
3,7,1218,783,1094,311,124,11.767,33.467,36.467,7.333,13.333,225.822
4,8,1311,822,1101,279,210,13.567,33.7,36.7,6.833,12.833,201.12
5,9,1214,772,1094,322,120,11.733,33.467,36.467,7.0,13.0,221.217
6,10,1167,695,996,301,171,7.667,30.2,33.2,8.5,14.5,260.374
7,11,1223,804,1140,336,83,12.633,35.0,38.0,7.167,13.167,225.117
8,13,1357,808,1091,283,266,11.933,33.367,36.367,8.0,14.0,216.376
9,14,1309,691,1021,330,288,9.533,31.033,34.033,6.5,12.5,245.266
10,15,1332,778,1105,327,227,10.767,33.833,36.833,8.167,14.167,243.881
11,16,1159,746,1068,322,91,10.867,32.6,35.6,7.0,13.0,296.086
12,17,1262,751,1063,312,199,10.533,32.433,35.433,7.5,13.5,253.558
13,18,1252,727,1031,304,221,10.9,31.367,34.367,6.333,12.333,281.092
14,19,1144,645,974,329,170,7.5,29.467,32.467,7.0,13.0,252.665
15,21,1297,746,1045,299,252,11.533,31.833,34.833,6.333,12.333,272.849
16,22,1352,850,1153,303,199,15.667,35.433,38.433,5.667,11.667,310.053
17,23,1155,638,944,306,211,7.6,28.467,31.467,6.667,12.667,289.648
18,24,1285,750,1014,264,271,10.333,30.8,33.8,7.667,13.667,236.939
19,25,1175,679,993,314,182,8.467,30.1,33.1,7.167,13.167,242.897
20,26,1331,813,1104,291,227,12.433,33.8,36.8,7.667,13.667,316.836
21,27,1301,682,1003,321,298,8.733,30.433,33.433,7.0,13.0,279.38
22,28,1268,738,1012,274,256,10.933,30.733,33.733,6.667,12.667,346.036
23,29,1118,646,937,291,181,7.533,28.233,31.233,7.0,13.0,321.442
